Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
套瓷,tào cí,动词,他那是在跟领导套瓷儿呢。,,套近乎、拉关系、假装熟悉,,To cozy up to someone; to act overly familiar to gain favor
大耳贴子,dà ěr tiē zi,名次,他挨了人家一个大耳贴子。,,巴掌、耳光,,A slap across the face
怂蛋包,sǒng dàn bāo,形容词,别当怂蛋包，有事儿上啊！,,不硬气、胆小鬼、懦弱的人（带贬义）,,Coward; wimp; weakling
夜么虎,yè me hǔ,名次,,,蝙蝠,,Bat
铁磁,tiě cí,名次,咱俩是铁磁，有啥都跟你说。,,非常要好的朋友、哥们儿,,Best buddy; close friend
逗闷子,dòu mèn zi,动词,别生气，我就是跟你逗闷子呢。,,开玩笑、打趣、逗乐,,To joke around; to tease for fun
大拿,dà ná,名次,他是圈儿里的大拿，可以找他问问。,,行家里手、专家、大人物,,An expert 
der,dēr,形容词,这也太der了！,,形容特别厉害、太、特别,,Too much; excessively
嘛呢,ma ne,说法,,,干什么呢（口语化）,,What's up (colloqial)
劳驾,láo jià,说法,劳驾，让一让，谢谢。,,麻烦您一下、打扰一下（礼貌用语）,,Excuse me (Polite interruption or way of getting attention in public)
歇菜,xiē cài,形容词,这次要是再输，咱就歇菜了。,,完了、失败了、挂了（多用于口语）,,Done for; failed
得,dé,说法,得，行嘞，就这么办。,,可以/行嘞；表示同意、认可、赞许,,Alright; got it (colloqial)
哎呦喂,āi yōu wèi,感叹词,哎呦喂，这也太贵了吧！,,表示惊讶、疼痛或夸张的感叹,,Whoa; oh my!
忒儿喽,tēr lóu,动词,您就得忒儿喽着喝稀粥了！,,吃面条吸进嘴里的声音/吸鼻涕,,To slurp
