Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
倍儿,bèr,形容词,这菜倍儿香,,特别、非常,,Extremely; super
忒,tēi / tè,形容词,这事儿忒麻烦,,太、特别,,Too; overwhelmingly
甭管,béng guǎn,说法,甭管别人咋说，你就按自己的想法来。,,不用管、不论、无论,,Don’t worry about... (assuring tone)
糙,cāo,形容词,这人干活儿太糙了。,,粗糙、不精细、粗鲁,,Rough; undetailed
局儿,júr,形容词,今晚有个局儿，一起去不？,,场合、局面、社交活动,,Social gathering (typically among friends)
玩儿命,wár mìng,形容词,他工作起来真是玩儿命。,,拼命,,To go all out
瓷实,cí shi,形容词,他这人挺瓷实的。,,结实、靠谱,,Someone or something reliable
寒碜,hán chen,形容词,穿这么点儿多寒碜啊。,,寒酸、难看,,Shabby; pitiful
特么,tè me,形容词,今儿也太特么冷了！,,"吐槽语气词, 类似于普通话“他妈的”",,Damn (expletive)
较劲儿,jiào jìnr,动词,你就别为这事儿跟我较劲儿了。办不了！,,别和我犟、别较真,,To be stubborn; to staunchly hold one's opinion
,,形容词,,,,,
搁那儿呢,gē nàr ne,说法,你要的书搁那儿呢。,,在那里、放那里了,,right there
