Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
搓饭,cuō fàn,动词,中午搓个饭去？,,吃饭，尤其指聚餐,,To grab food together
姐们儿,jiě menr,名次,她是我多年的老姐们儿。,,女性好朋友，,,Close female friend; bestie
抠门儿,kōu ménr,形容词,他那人特抠门儿，连水都舍不得买瓶的。,,吝啬、小气,,Stingy; cheap
蔫儿坏,niānr huài,形容词,别看他不吭声，蔫儿坏着呢。,,表面老实，暗地里使坏,,Sneaky; unassumingly of ill-intent
甭提了,béng tí le,说法,甭提了，那天可真倒霉。,,别提了，表感叹,,Don’t even mention it; it was terrible
地界儿,dì jièr,名次,这地界儿我熟，跟我走准没错。,,地方、区域,,Area; neighborhood; territory
扒拉,bā la,动词,别老扒拉菜，好好吃饭！,,用手拨弄、翻找,,To prod; To poke around
撒丫子,sā yā z,动词,i快撒丫子跑，别被逮着！,,跑、赶紧跑,,To run quickly
开涮,kāi shuàn,动词,别拿我开涮了，我是真不知道！,,开玩笑、打趣,,To joke and kid; to make fun of 
顶缸,dǐng gāng,动词,他被抓去顶缸了。,,替人受过、背锅,,To take blame for
碍眼,ài yǎn,形容词,这破玩意儿真碍眼，赶紧收走。,,看着不舒服、讨人嫌,,Something unpleasant or irritating
