Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
"瓷器,",cí qì,名次,我和他老瓷器了，啥都能交代。,,好兄弟、血兄弟,,Really good friend; ride or die
"有样儿,",yǒu yàngr,形容词,他今天打扮得挺有样儿的。,,有范儿、有派头、有气势,,Charismatic
"拿样儿,",ná yàngr,形容词,他成天那样那样儿以为我们看不出来，真是把我们当傻子啊。,,棱状、没范儿硬装、摆架子,,Uncharismatic and faking it
摔咧子,shuāi liē zi,动词,别跟我摔咧子，有事好好说。,,耍脾气、闹性子,,Having an attitude
"自个儿,",zì gěr,名次,我自个儿弄不行，还是你来吧,,自己称呼自己的方式 （形容自己在做什么事的时候用）,,A way to refer to oneself
"熟张儿,",shú zhāngr,名次,那人是我熟张儿，我俩好久之前就认识了。,,熟人、认识的人,,Someone familiar
"硬茬儿,",yìng chár,形容词,那人是个硬茬儿，估计不好打。,,厉害、不好对付的人、狠角色,,Someone strong; a difficult to deal with character
"意会一下,",yì huì yí xià,说法,意思我就不直说了，你自己意会意会一下吧。,,心领一下、自己领悟,,"Understand (independently, by oneself)"
岔架,qià jià,动词,别岔架！有事就说，咱们和平处理。,,吵架、打闹,,To argue; to fight
蔫,niār,形容词,你怎么蔫儿了啊？身体不舒服吗。,,没精神、低能量、虚弱,,Weak; unenergized; down
呲儿喽,cīr lou,动词,A：你今天怎么这么不开心呀？B：被家里人呲儿喽了，有点委屈。,,训斥,,To berate; to criticize harshly
挨呲儿,āi cīr,动词,这样天天埃呲儿，谁受的了啊。,,被说教、被训斥,,To be berated; To recieve harsh criticism
