Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
反摊子了,fǎn tān zi le,说法,你那个面馆要还开吗？不行，做不下去了，反摊子了。,,比喻事情搞砸、乱套了、做不了,,A situation gone awry. 
不着调,bù zháo diào,形容词,他这人老不着调，别信他那套。,,不靠谱、胡来、不正经,,Unreliable; out of line; foolish or inappropriate in behavior.
打岔,dǎ chà,动词,我正说着呢，您先别打岔。,,换话题、插嘴、打断别人说话,,Interrupt; change the subject
大逼斗,dà bī dòu,动词,狗哥挨了猫姐三个大逼斗。,,大嘴巴子,,A loud slap
抖吧,dóu bà,动词,小心你再在我面前得瑟我就抖吧你,,殴打,,To hit or beat up
得瑟,dè se,名次,你行了，别得瑟，刚赢一回就上天了。,,炫耀、显摆、臭美、自鸣得意,,Show off; be smug or overly proud
末了儿,mò liǎo r,形容词,末了儿他一句话全给整明白了。,,最后的时候；最终结果,,someone of unreliable and amoral character
浑不吝,hún bú lìn,形容词,他借了人家的钱不还，真是浑不吝啊！,,形容不讲道理，一点不在乎、毫不吝惜,,At the end; in the final part.
秃噜嘴了,tū lu zuǐ le,形容词,哎呀我秃噜嘴了，这事儿你别传出去。,,说漏嘴了、无意中说出来了,,Let something slip; accidentally said something that should’ve been kept secret.
今儿哪儿了,jīr nǎr le,说法,,,今天去哪儿了？常用于询问当天行踪,,A colloquial way of asking where someone has been or what they've done for the day.
