Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
孙子,zà/zeí,名次,孙子! (骂人）,,指“没出息的人”或“被耍的人”。,,Literally “grandson”; colloquially an insult meaning “loser” or “coward.”
,,形容词,这太特么孙子了！,,形容很一件很赖的事情,,Verb: descriptive of a really unfortunate and frustrating event
,,名次,孙子!,,用于男性之间的打招呼的方式 （语气粗鲁，略微带有调侃意味）,,A rude way of greeting your friends.
大爷的。,,感叹词,孙子的。,,粗话，表示不满或生气，相当于“该死的”或“他妈的”。,,Damn.
你大爷。,,说法,,,骂人的话，用于表示愤怒或不屑。,,A expletive indicating disrespect and disregard.
阁儿,gér,形容词,这人太阁儿了 ,,形容人有趣，神奇,,"Interesting, intruiguing"
二,,形容词,这人干事儿真二。,,形容人傻乎乎、冒失、缺心眼儿,,"Silly, careless"
圈儿,,名次,那个人去哪儿了呀？圈儿里蹲着呢。,,监狱,,Colloqial term for jail
老炮儿,lǎo pào er,名次,这位是地道的老炮儿，讲究着呢。,,老北京的混社会、有经验、有江湖气的人。,,"An older beijing man with lots of street cred, sometimes a gangster."
果儿,guǒ er,名次,这小果儿挺机灵。,,一种轻浮地称呼伶俐或打扮时髦的女生的方式,,A flippant way of descrbing a beautiful or clever girl.
拍婆子,pāi pó zi,动词,,,老北京男性搭讪女生，约会,,Descriptive of a man who is engaging in the act of chasing or dating a woman
胡同串子,hú tòng chuàn zi,名次,,,指常在胡同里混、爱闲逛的人。,,Someone who is always wandering around in the hutongs
胡同二流子,hú tòng èr liú zi,名次,,,指北京的混人。,,Hutong troublemakers
