Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
碍事儿,ài shìr,形容词,你这么着太碍事儿了,,耽误事、添麻烦,,To be in the way
巴不能够,bā bù néng gòu,形容词,我巴不能够早点见着老伙计,,迫切希望、巴不得,,Couldn't come quicker
拔份儿,bá fènr,形容词,他就爱穿名牌拔份儿,,摆阔气、显威风,,Stylish; respectable
半熟脸儿,bàn shú liǎnr,名次,那是个半熟脸儿，叫不上名,,认识但不熟的人,,Acquaintance; Someone one knows but not well
甭提了,béng tí le,感叹词,那次旅行甭提多痛快了,,不用多说（表感慨，可褒可贬）,,Don't even mention it
不吝,bú lìn,动词,这点小亏我不吝,,不在乎、不介意,,I don't mind; indicative of a generous attitude (but at times used ironically)
岔劈,chà pī,形容词,这事儿别办岔劈了,,出错、弄混,,To mistaken; to mess up
吃瓜落,chī guā lào,动词,他犯错，我也跟着吃瓜落,,受牵连、跟着倒霉,,Be snubbed due to a connection to someone else
搭茬儿,dā chár,动词,别随便跟陌生人搭茬儿,,接话、搭讪,,To respond to someone's small talk; to shoot the shit
颠儿了,diān r le,动词,他一看情况不对就颠儿了,,溜走、离开,,To take off; to quickly leave
