Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
熬鹰,áo yīng  ,动词,"场景：朋友凌晨聊天
A：“你咋还没睡？这都三点了！”
B：“昨晚跟哥们儿熬鹰打扑克，现在一点儿不困，悔死了！”",,"熬夜不睡觉（特指硬扛着不睡,）",,Staying up late and refusing to sleep
局气,jú qì  ,形容词,"场景：同事聚餐结账
A：“这次我来买单，别跟我抢！”
B：“还是你局气！上次你帮我解围，这次该我来！”",,为人仗义、大方（褒义）,,Being generous
撒癔症,sā yī zhèng  ,名次,"场景：室友早起吐槽
A：“你昨晚半夜撒癔症，喊着‘别跑’，吓我一跳！”
B：啊？我做梦追公交呢，没吵着你睡觉吧？”",,睡梦中胡言乱语、肢体乱动,,Talking or moving unconsciously in one’s sleep; sleep-talking or tossing about.  
硌硬,gè yìng  ,形容词,"场景：看到不文明行为
A：“他当众插队还理直气壮，太硌硬人了！”
B：“别搭理这种人，越计较越堵得慌。”",,让人反感、恶心（心里不舒服）,,Disgusting or repulsive; makes someone feel uncomfortable or grossed out.  
门儿清,ménr qīng  ,形容词,"场景：打听旅游路线
A：“去胡同逛该走哪条线啊？”
B：“这你问我算找对人了，我对老北京胡同门儿清！”",,对事儿特别了解、心里有数,,Very knowledgeable about something; knows it inside out.  
嚼谷儿,jiáo gur  ,名次,"场景：聊工资支配
A：“每月工资刚发就光，不够嚼谷的！”
B：“省着点花，我都把房租和嚼谷单独存起来。”",,"生活费、口粮（泛指开销）

",,Living expenses or daily spending; money for basic needs.  
消停,xiāo ting  ,形容词,"场景：孩子吵闹时
A：“你俩别在屋里疯跑了，让我消停会儿行不？”
B：“知道了妈！我们去院子里玩，不吵你了。”",,安静、不折腾（表希望对方安分）,,Be quiet; stay calm; don’t cause trouble.  
打眼,dǎ yǎn ,动词,"场景：买古玩被骗
A：“我以为这是真古董，结果是仿品，真是打眼了！”
B：“老物件水太深，下次得找懂行的陪着。”",,看走眼、误判（多指买东西或识人）,,A misjudgement or wrong call
抖机灵,dǒu jī ling  ,动词,"场景：工作对接
A：“别总想着抖机灵偷懒，这活儿得踏踏实实做。”
B：“我错了，这就按要求重新弄，不耍滑了。”",,耍小聪明（略带贬义）,,To act clever in a petty or sly way
念秧,niàn yāng,动词,"场景：提醒朋友还钱
A：“最近交房租手头紧，连买菜都得算计着来……”
B：“别念秧了！欠你的钱这周末准还你，我记着呢！”",,旁敲侧击、反复念叨（暗示别人）,,To hint or imply something indirectly; to repeatedly bring it up as a reminder.
